Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,Service points won,Receiver points won,SET,VS_SET,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
2024,5,45502,A,Preliminary,Paris,France,China,USA,42/102 (41%),60/102 (59%),3,2,25,25,17,20,15,20,19,25,25,13,ALL,81,68,12,1,0,68,17,63,148,12,24,35,71,1,2,99,102,45,5,42,92,52,22,94,30,2,107,139
2024,5,45502,A,Preliminary,Paris,France,China,USA,12/25 (48%),13/20 (65%),3,2,25,25,17,20,15,20,19,25,25,13,1,19,16,2,1,0,16,4,21,41,2,6,9,17,1,0,24,25,12,1,7,20,12,3,21,9,0,25,34
2024,5,45502,A,Preliminary,Paris,France,China,USA,10/24 (42%),15/20 (75%),3,2,25,25,17,20,15,20,19,25,25,13,2,19,17,2,0,0,17,5,10,32,2,5,13,20,0,0,24,24,11,0,6,17,19,8,30,6,0,30,36
2024,5,45502,A,Preliminary,Paris,France,China,USA,4/18 (22%),13/24 (54%),3,2,25,25,17,20,15,20,19,25,25,13,3,13,8,5,0,0,8,3,15,26,5,5,5,15,0,2,16,18,7,1,11,19,5,6,14,7,0,17,24
2024,5,45502,A,Preliminary,Paris,France,China,USA,9/20 (45%),11/25 (44%),3,2,25,25,17,20,15,20,19,25,25,13,4,15,14,1,0,0,14,3,14,31,1,4,8,13,0,0,21,21,8,3,12,23,11,5,22,4,1,24,29
2024,5,45502,A,Preliminary,Paris,France,China,USA,7/15 (47%),8/13 (62%),3,2,25,25,17,20,15,20,19,25,25,13,5,15,13,2,0,0,13,2,3,18,2,4,0,6,0,0,14,14,7,0,6,13,5,0,7,4,1,11,16
2024,6,45502,A,Preliminary,Paris,France,France,Serbia,19/58 (33%),37/73 (51%),0,3,17,17,22,-,-,25,25,25,-,-,ALL,37,28,8,1,0,28,18,46,92,8,10,11,29,1,8,49,58,25,8,31,64,24,20,52,13,1,70,84
2024,6,45502,A,Preliminary,Paris,France,France,Serbia,4/18 (22%),13/24 (54%),0,3,17,17,22,-,-,25,25,25,-,-,1,9,6,3,0,0,6,6,17,29,3,2,1,6,0,4,14,18,7,5,7,19,12,4,16,7,0,19,26
2024,6,45502,A,Preliminary,Paris,France,France,Serbia,5/17 (29%),12/25 (48%),0,3,17,17,22,-,-,25,25,25,-,-,2,11,8,3,0,0,8,5,10,23,3,6,2,11,0,1,16,17,9,1,12,22,0,9,13,0,1,21,22
2024,6,45502,A,Preliminary,Paris,France,France,Serbia,10/23 (43%),12/24 (50%),0,3,17,17,22,-,-,25,25,25,-,-,3,17,14,2,1,0,14,7,19,40,2,2,8,12,1,3,19,23,9,2,12,23,12,7,23,6,0,30,36
2024,6,45502,A,Preliminary,Paris,France,Serbia,France,36/73 (49%),39/58 (67%),3,0,25,25,25,-,-,17,17,22,-,-,ALL,61,39,14,8,0,39,18,30,87,14,15,17,46,8,9,56,73,32,1,17,50,17,8,49,12,0,70,82
2024,6,45502,A,Preliminary,Paris,France,Serbia,France,11/24 (46%),14/18 (78%),3,0,25,25,25,-,-,17,17,22,-,-,1,20,10,5,5,0,10,6,10,26,5,3,8,16,5,5,14,24,10,0,4,14,2,2,16,1,0,25,26
2024,6,45502,A,Preliminary,Paris,France,Serbia,France,13/25 (52%),12/17 (71%),3,0,25,25,25,-,-,17,17,22,-,-,2,23,16,6,1,0,16,6,3,25,6,2,3,11,1,3,21,25,10,0,6,16,10,3,14,5,0,18,23
2024,6,45502,A,Preliminary,Paris,France,Serbia,France,12/24 (50%),13/23 (57%),3,0,25,25,25,-,-,17,17,22,-,-,3,18,13,3,2,0,13,6,17,36,3,10,6,19,2,1,21,24,12,1,7,20,5,3,19,6,0,27,33
2024,7,45504,A,Preliminary,Paris,France,USA,Serbia,-,-,3,2,25,25,20,14,17,17,20,25,25,15,ALL,78,56,19,3,0,56,26,64,146,19,17,27,63,3,8,90,101,46,6,40,92,41,41,94,45,0,85,130
2024,7,45504,A,Preliminary,Paris,France,USA,Serbia,-,-,3,2,25,25,20,14,17,17,20,25,25,15,1,18,13,4,1,0,13,3,6,22,4,2,2,8,1,4,19,24,10,0,5,15,5,8,14,15,0,5,20
2024,7,45504,A,Preliminary,Paris,France,USA,Serbia,-,-,3,2,25,25,20,14,17,17,20,25,25,15,2,18,12,5,1,0,12,3,8,23,5,4,5,14,1,2,23,26,4,3,11,18,6,7,14,4,0,17,21
2024,7,45504,A,Preliminary,Paris,France,USA,Serbia,-,-,3,2,25,25,20,14,17,17,20,25,25,15,3,16,13,3,0,0,13,9,16,38,3,4,7,14,0,0,20,20,10,1,13,24,8,10,24,10,0,24,34
2024,7,45504,A,Preliminary,Paris,France,USA,Serbia,-,-,3,2,25,25,20,14,17,17,20,25,25,15,4,11,7,4,0,0,7,6,16,29,4,5,6,15,0,1,14,15,11,2,7,20,12,11,24,4,0,23,27
2024,7,45504,A,Preliminary,Paris,France,USA,Serbia,-,-,3,2,25,25,20,14,17,17,20,25,25,15,5,15,11,3,1,0,11,5,18,34,3,2,7,12,1,1,14,16,11,0,4,15,10,5,18,12,0,16,28
2024,7,45504,A,Preliminary,Paris,France,Serbia,USA,-,-,2,3,17,20,25,25,15,25,25,20,14,17,ALL,83,63,14,6,0,63,31,51,145,14,19,25,58,6,9,87,102,49,3,35,87,48,28,81,44,0,88,132
2024,7,45504,A,Preliminary,Paris,France,Serbia,USA,-,-,2,3,17,20,25,25,15,25,25,20,14,17,1,13,10,3,0,0,10,7,7,24,3,1,1,5,0,3,15,18,11,1,8,20,5,12,18,7,0,16,23
