Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET,VS_SET,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Service points won,Receiver points won,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
2024,5,2024/7/28,A,Preliminary,Paris,France,France,Serbia,3,2,23,25,25,21,15,25,17,17,25,6,4,5/21 (24%),16/25 (64%),17,13,2,2,0,13,5,13,31,2,4,3,9,2,4,15,21,17,0,5,22,3,11,17,10,0,16,26
2024,5,2024/7/28,A,Preliminary,Paris,France,France,Serbia,3,2,23,25,25,21,15,25,17,17,25,6,5,9/14 (64%),6/7 (86%),7,3,3,1,0,3,0,5,8,3,4,2,9,1,0,13,14,2,0,3,5,2,1,5,3,0,5,8
2024,5,2024/7/28,A,Preliminary,Paris,France,Serbia,France,2,3,25,17,17,25,6,23,25,25,21,15,ALL,26/91 (29%),64/108 (59%),74,61,12,1,0,61,30,47,138,12,28,26,66,1,16,74,91,66,3,29,98,30,16,63,61,2,65,128
2024,5,2024/7/28,A,Preliminary,Paris,France,Serbia,France,2,3,25,17,17,25,6,23,25,25,21,15,1,10/24 (42%),15/24 (63%),21,16,5,0,0,16,8,17,41,5,3,11,19,0,5,19,24,19,0,5,24,15,3,24,17,2,24,43
2024,5,2024/7/28,A,Preliminary,Paris,France,Serbia,France,2,3,25,17,17,25,6,23,25,25,21,15,2,3/18 (17%),14/24 (58%),12,10,2,0,0,10,4,10,24,2,10,5,17,0,3,15,18,12,0,8,20,4,5,15,13,0,9,22
2024,5,2024/7/28,A,Preliminary,Paris,France,Serbia,France,2,3,25,17,17,25,6,23,25,25,21,15,3,3/17 (18%),14/25 (56%),16,14,1,1,0,14,5,7,26,1,7,1,9,1,4,12,17,15,0,8,23,4,4,8,15,0,10,25
2024,5,2024/7/28,A,Preliminary,Paris,France,Serbia,France,2,3,25,17,17,25,6,23,25,25,21,15,4,9/25 (36%),16/21 (76%),19,15,4,0,0,15,4,9,28,4,5,8,17,0,2,23,25,12,2,3,17,3,4,12,11,0,10,21
2024,5,2024/7/28,A,Preliminary,Paris,France,Serbia,France,2,3,25,17,17,25,6,23,25,25,21,15,5,1/7 (14%),5/14 (36%),6,6,0,0,0,6,9,4,19,0,3,1,4,0,2,5,7,8,1,5,14,4,0,4,5,0,12,17
2024,6,2024/7/28,A,Preliminary,Paris,France,Slovenia,Canada,3,1,25,25,20,25,-,21,20,25,21,-,ALL,32/94 (34%),63/88 (72%),73,58,7,8,0,58,16,49,123,7,18,27,52,8,13,74,95,50,5,14,69,25,14,65,46,1,63,110
2024,6,2024/7/28,A,Preliminary,Paris,France,Slovenia,Canada,3,1,25,25,20,25,-,21,20,25,21,-,1,9/24 (38%),16/22 (73%),20,16,2,2,0,16,4,12,32,2,4,6,12,2,2,21,25,12,2,3,17,6,2,16,13,1,14,28
2024,6,2024/7/28,A,Preliminary,Paris,France,Slovenia,Canada,3,1,25,25,20,25,-,21,20,25,21,-,2,9/25 (36%),16/20 (80%),21,15,2,4,0,15,3,10,28,2,6,8,16,4,2,19,25,13,0,2,15,8,3,13,8,0,16,24
2024,6,2024/7/28,A,Preliminary,Paris,France,Slovenia,Canada,3,1,25,25,20,25,-,21,20,25,21,-,3,4/20 (20%),16/25 (64%),12,11,1,0,0,11,6,14,31,1,2,7,10,0,5,15,20,14,1,4,19,5,6,19,13,0,17,30
2024,6,2024/7/28,A,Preliminary,Paris,France,Slovenia,Canada,3,1,25,25,20,25,-,21,20,25,21,-,4,10/25 (40%),15/21 (71%),20,16,2,2,0,16,3,13,32,2,6,6,14,2,4,19,25,11,2,5,18,6,3,17,12,0,16,28
2024,6,2024/7/28,A,Preliminary,Paris,France,Canada,Slovenia,1,3,21,20,25,21,-,25,25,20,25,-,ALL,25/88 (28%),62/94 (66%),61,52,4,5,0,52,10,48,110,4,23,31,58,5,17,65,87,44,8,27,79,18,13,55,32,2,74,108
2024,6,2024/7/28,A,Preliminary,Paris,France,Canada,Slovenia,1,3,21,20,25,21,-,25,25,20,25,-,1,6/22 (27%),15/24 (63%),15,12,1,2,0,12,2,13,27,1,8,8,17,2,4,15,21,13,2,6,21,2,1,6,7,1,14,22
2024,6,2024/7/28,A,Preliminary,Paris,France,Canada,Slovenia,1,3,21,20,25,21,-,25,25,20,25,-,2,4/20 (20%),16/25 (64%),16,15,1,0,0,15,2,9,26,1,8,9,18,0,4,16,20,11,4,7,22,6,0,12,10,0,18,28
2024,6,2024/7/28,A,Preliminary,Paris,France,Canada,Slovenia,1,3,21,20,25,21,-,25,25,20,25,-,3,9/25 (36%),16/20 (80%),15,13,1,1,0,13,3,11,27,1,1,7,9,1,6,18,25,11,0,4,15,6,6,18,7,0,19,26
2024,6,2024/7/28,A,Preliminary,Paris,France,Canada,Slovenia,1,3,21,20,25,21,-,25,25,20,25,-,4,6/21 (29%),15/25 (60%),15,12,1,2,0,12,3,15,30,1,6,7,14,2,3,16,21,9,2,10,21,4,6,19,8,1,23,32
